pl_bmasse,hostname,st_teff,st_metratio,st_spectype,st_mass,st_logg,0
0.4,L 98-59,3415.0,[Fe/H],M3 V,0.27,4.86,2
0.546,GJ 367,3522.0,[Fe/H],M1.0 V,0.45,4.78,2
0.7,YZ Cet,3151.0,[Fe/H],M4.5 V,0.14,5.17,1
1.01,L 98-59,3412.0,[Fe/H],M3 V,0.31,4.94,1
1.09,YZ Cet,3151.0,[Fe/H],M4.5 V,0.14,5.17,1
1.14,YZ Cet,3151.0,[Fe/H],M4.5 V,0.14,5.17,1
1.21,GJ 3929,3369.0,[Fe/H],M3.5 V,0.31,4.84,2
1.42,TOI-500,4440.0,[Fe/H],K6 V,0.74,4.62,2
1.45,GJ 9827,4219.0,[Fe/H],K6 V,0.64,4.66,1
1.5,TOI-178,4316.0,[Fe/H],K,0.65,4.45,2
1.58,TOI-270,3506.0,[Fe/H],M,0.39,4.87,2
1.59,TOI-561,5455.0,[Fe/H],G9 V,0.79,4.47,2
1.71,GJ 393,3579.0,[Fe/H],M2.0 V,0.43,4.88,1
1.72,HD 215152,4935.0,[Fe/H],K3 V,0.77,4.4,1
1.819,HD 215152,4935.0,[Fe/H],K3 V,0.77,4.4,1
1.84,GJ 357,3505.0,[Fe/H],M2.5 V,0.34,4.94,2
1.94,L 98-59,3415.0,[Fe/H],M3 V,0.27,4.86,2
2.14,K2-3,3896.0,[Fe/H],M0.0&plusmn;0.5,0.6,4.73,1
2.2,TOI-1266,3600.0,[Fe/H],M3,0.45,4.85,2
2.22,L 98-59,3415.0,[Fe/H],M3 V,0.27,4.86,2
2.31,L 98-59,3412.0,[Fe/H],M3 V,0.31,4.94,1
2.33,LHS 1478,3381.0,[Fe/H],m3 V,0.24,4.87,2
2.35,GJ 9827,4219.0,[Fe/H],K6 V,0.64,4.66,1
2.4,HD 20794,5401.0,[Fe/H],G8 V,0.7,4.22,1
2.42,GJ 9827,4269.0,[m/H],K5 V,0.61,4.65,1
2.42,L 98-59,3412.0,[Fe/H],M3 V,0.31,4.94,1
2.47,GJ 3998,3722.0,[Fe/H],M1,0.5,4.77,1
2.5,G 264-012,3326.0,[Fe/H],M4.0 V,0.3,4.85,1
2.69,GJ 411,3601.0,[Fe/H],M1.5 V,0.39,4.87,1
2.7,HD 20794,5401.0,[Fe/H],G8 V,0.7,4.22,1
2.78,HD 219134,4699.0,[Fe/H],K3 V,0.78,4.63,1
2.80007,K2-3,3896.0,[Fe/H],M0.0&plusmn;0.5,0.6,4.73,1
2.801,HD 215152,4935.0,[Fe/H],K3 V,0.77,4.4,1
2.82,GJ 625,3499.0,[Fe/H],M2,0.3,4.94,1
2.877,HD 215152,4935.0,[Fe/H],K3 V,0.77,4.4,1
2.96,GJ 740,3913.0,[Fe/H],M1.0 V,0.58,4.68,1
3.01,TOI-178,4316.0,[Fe/H],K,0.65,4.45,2
3.06,L 98-59,3415.0,[Fe/H],M3 V,0.27,4.86,1
3.4,GJ 357,3505.0,[Fe/H],M2.5 V,0.34,4.94,1
3.42,GJ 9827,4269.0,[m/H],K5 V,0.61,4.65,1
3.49613,HD 219134,4913.0,[Fe/H],K3 V,0.79,4.51,1
3.5,HD 96700,5845.0,[Fe/H],G0 V,0.89,4.39,1
3.6,HD 85512,4715.0,[Fe/H],K5 V,0.69,4.39,1
3.63,HD 40307,4977.0,[Fe/H],K3 V,0.77,4.47,1
3.69,GJ 9827,4219.0,[Fe/H],K6 V,0.64,4.66,1
3.7,GJ 143,4640.0,[Fe/H],K4.5,0.73,4.61,2
3.75,G 264-012,3326.0,[Fe/H],M4.0 V,0.3,4.85,1
3.78,Kepler-101,5667.0,[Fe/H],G3 IV,1.17,4.12,1
